review_n,citekey,authors,year,title,doi,url,site,fulltext,fulltext_source,r2,nse,kge,pbias,rmse,mae,other_metrics,metric_excerpt,vpr_variable,vpr_variable_excerpt,vpr_location,vpr_location_excerpt,control_rule,control_rule_excerpt,open_inputs_or_code,open_excerpt,cal_val_split,cal_val_excerpt,vpr_reconstruct,vpr_reconstruct_reason,in_table2,table2_r2,table2_params,table2_r2_is_w2_obs_sim_skill,notes
27,terry_etal_2022,"Terry, J.; Davies, J.M.; Lindenschmidt, K.E.",2022,Buffalo Pound Lake-Modelling Water Resource Management Scenarios of a Large Multi-Purpose Prairie Reservoir,10.3390/w14040584,https://doi.org/10.3390/w14040584,"Buffalo Pound Lake, Saskatchewan, Canada",true,MDPI HTML (WebSearch),false,false,false,false,false,false,visual comparison; derived TP/TN/DOC/CHLA internally in W2,"This paper does not report R2/NSE/KGE/PBIAS/RMSE for W2 vs observations. Calibration described as plotting eight station-segments and visual comparison. A later related MDPI paper (Water 15:2005, not in the 38) reports MAE and adjusted R2 at Hwy#2 and Intake.",partial,"TDS, DOC, DO, TP, TN, CHLA plotted. Notes TP/TN/CHLA/DOC are W2-derived not inflow-file inputs. Output file not named. Version 4.2.2 stated.",yes,"Plots at segments 5, 32, 86. BPWTP intake pipes in segment 86, ~1 m off lakebed. 13 WSA stations in eight segments; same-day multi-station values averaged per segment.",described,Interbasin diversion scenarios from Lake Diefenbaker; dam outflow logs; BPWTP withdrawals. Not TDGTA. Flow-management state is the experimental factor.,false,"No W2 input archive. Observational data from WSA/BPWTP/ECCC, not redistributed.",partial,Updates a prior calibrated model; BPWTP data used to 'validate' Apr 2013-May 2015 at seg 86; WSA Jun 2015-Dec 2019 used to recalibrate. Not a clean independent split.,partial,I=5/32/86 known; K only for intake (~1 m off bed). File/column/pairing tolerance missing. No numeric GOF in this paper.,false,,,NA,"Strong location reporting, weak metric reporting. Review Table 1: updates calibration with extra 6.5 years."
28,nazari_sharabian_taheriyoun_2022,"Nazari-Sharabian, M.; Taheriyoun, M.",2022,Climate change impact on water quality in the integrated Mahabad Dam watershed-reservoir system,10.1016/j.jher.2021.12.001,https://doi.org/10.1016/j.jher.2021.12.001,"Mahabad Dam Reservoir, Iran",false,review Table 1 + title/abstract snippets,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Review: calibrated 2011-2012, validated 2013 for T, TP, DO. Metrics not in available snippets.",partial,"T, TP, DO listed. File unknown.",unknown,28 variable-length segments (Table 1). Comparison I/K unknown.,NA,Climate-change scenarios on catchment-reservoir WQ.,false,Closed.,yes,"Review Table 1: cal 2011-2012, val 2013.",unknown,No full text; only periods and constituents.,false,,,NA,CanESM2+SWAT+W2 chain. Cal/val split is stated by the review even without FT.
29,yosefipoor_etal_2022,"Yosefipoor, P.; Saadatpour, M.; Solis, S.S.; Afshar, A.",2022,"An adaptive surrogate-based, multi-pollutant, and multi-objective optimization for river-reservoir system management",10.1016/j.ecoleng.2021.106487,https://doi.org/10.1016/j.ecoleng.2021.106487,"Ilam Reservoir, Iran",false,review Table 1,unknown,unknown,unknown,unknown,unknown,unknown,unknown; surrogate SVR modules,Optimization paper using W2 as process model. Review: calibrated and validated 2008-2009. GOF numbers not retrieved.,partial,"DO, NO3, PO4, Fe, BOD (Table 1).",unknown,42 segs x 500 m (Table 1).,described,Integrated river-reservoir quantity-quality management / optimization; not TDG. Outlet/operating policies are the decision variables (abstract-level).,false,Closed.,yes,"Review: calibrated and validated in this study, 2008-2009.",unknown,No FT; optimization focus.,false,,,NA,Surrogate (SVR) of W2. VPR for the surrogate vs W2 vs observations is a three-layer provenance problem.
30,kheirkhah_etal_2022,"Kheirkhah, S.; Saadatpour, M.; Afshar, A.",2022,An adaptive metamodelling for multipollutant waste load allocation in a river-reservoir system; hydrodynamic simulation-optimization,10.1111/wej.12751,https://doi.org/10.1111/wej.12751,"Behesht-Abad River and Reservoir, Iran",false,Crossref abstract,unknown,unknown,unknown,unknown,unknown,unknown,"scenario percent changes in PO4, DO, Carlson index","Abstract reports allocation outcomes (PO4 -3%, DO +2 to +11.6%, Carlson 3-7 units), not obs-sim GOF. Review: calibration using significant WQ coefficients; 133 monthly periods.",partial,"TP, Chl-a, DO, NO3, NH3, PO4, BOD (Table 1).",unknown,"56 segs, up to 72 layers (Table 1).",NA,"Waste-load allocation / treatment levels, not W2 internal controller.",false,Closed.,unknown,Review does not state a validation split.,no,Metamodel paper; pairing I/K/file not in abstract.,false,,,NA,W2-ANN-MOPSO. Table 1 country printed '(Will)' — OCR error for Iran.
31,almeida_etal_2021,"Almeida, C.; Branco, P.; Segurado, P.; Ramos, T.B.; Ferreira, T.; Neves, R.; de Oliveira, R.P.",2021,Evaluation of the trophic status in a Mediterranean reservoir under climate change: An integrated modelling approach,10.2166/wcc.2020.247,https://doi.org/10.2166/wcc.2020.247,"Montargil Reservoir, Sorraia River, Portugal",true,IWA HTML (doi.org),true,true,false,false,true,false,SWAT also R2/RMSE/NSE/bias; W2 kinetic table,"W2 'performance measures (R2, RMSE and NSE) were used' for cal/val of water levels and T/DO profiles. WSE R2=0.92 shown (Figure 3). Numeric NSE/RMSE for T/DO profiles not extracted from the HTML tables. Table 2's '0.92 Flow, TN, TP' mixes SWAT (flow R2=0.71, TN 0.59, TP 0.14) with W2 WSE.",partial,W2 calibrated for water levels and T and DO profiles. Later analyses use epilimnion vs hypolimnion (20 m) for DO/TP/CHLA. Output file not named.,partial,"Profiles 'at the Montargil reservoir dam' (Figure 4). Grid: 13 active segments, 32 layers (Figure 2). Dam segment number not stated in text. Hypolimnion defined as 20 m depth.",NA,Climate/trophic status; irrigation-demand reductions tested. Not TDG/selective-withdrawal controller.,false,No W2 deck. SNIRH/ARBVS data cited.,yes,Methods say cal then val using R2/RMSE/NSE. SWAT cal 1996-2005 / val thereafter. W2 period 2005-2014 weather.,partial,Dam profiles + 20 m hypo + WSE; I not numbered; file not named. NSE claimed but values for W2 T/DO not quoted in retrieved HTML.,true,0.92,"Flow, TN, TP",false,Table 2 mislabels 0.92 as Flow/TN/TP; paper's 0.92 is W2 water-surface elevation. Rare case that names NSE as a W2 metric.
32,akomeah_etal_2021,"Akomeah, E.; Morales-Marin, L.A.; Carr, M.; Sadeghian, A.; Lindenschmidt, K.E.",2021,The impacts of changing climate and streamflow on nutrient speciation in a large prairie reservoir,10.1016/j.jenvman.2021.112262,https://doi.org/10.1016/j.jenvman.2021.112262,"Lake Diefenbaker, Canada",false,review Table 1,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Review: model previously calibrated by Sadeghian 2015/2017. This paper is a scenario application. GOF not retrieved.,unknown,"Table 1 lists T, DO, PO4, TP, NO3/NO2, NH3, TN, BOD, TDS, pH, algal biomass, Chl-a.",unknown,Variable horizontal targeting (Table 1).,not_mentioned,Climate/streamflow scenarios on a multi-purpose reservoir; withdrawal-elevation state not declared in available text (contrast [36]).,unknown,"Related FRDR package is for [36], not confirmed for this paper.",inherited,Previously calibrated by Sadeghian et al.,no,Scenario paper on a prior model; this paper does not restate VPR.,false,,,NA,Lake Diefenbaker cluster with [34][36]. SPARROW+W2.
33,yahyaee_etal_2021,"Yahyaee, A.R.; Moridi, A.; Sarang, A.",2021,A new optimized model to control eutrophication in multi-purpose reservoirs,10.1007/s13762-020-03042-y,https://doi.org/10.1007/s13762-020-03042-y,"Seimare Reservoir, Iran",false,review Table 1,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Review: calibrated on one year of data; 2011-2013. NSGA-II optimization. GOF not retrieved.,partial,Water temperature and DO (Table 1).,unknown,"28 segs x 1000 m, 32 layers 2-4 m.",described,Table 1 purpose: evaluate impact of water release from the lower layers. NSGA-II operations. Not TDG.,false,Closed.,unknown,Calibrated based on one year; analysis window 02/2011-02/2013.,unknown,No FT.,false,,,NA,Selective/lower-layer release is in scope for control-rule confounding.
34,moralesmarin_etal_2021,"Morales-Marin, L.A.; Carr, M.; Sadeghian, A.; Lindenschmidt, K.E.",2021,"Climate change effects on the thermal stratification of Lake Diefenbaker, a large multi-purpose reservoir",10.1080/07011784.2020.1854120,https://doi.org/10.1080/07011784.2020.1854120,"Lake Diefenbaker, Canada",false,review Table 1,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Review: previously calibrated and validated by Sadeghian 2015 and 2018. This paper is climate/flow scenarios on thermal structure.,partial,Water temperature (Table 1).,unknown,"515 horizontal segments, 1 m layers, max 60 (Table 1) — grid, not pairing.",not_mentioned,Climate and flow scenarios; outlet elevation state not in available text.,unknown,See [36] FRDR for a related Diefenbaker W2.,inherited,Sadeghian prior cal/val.,no,Inherited model; this paper does not restate VPR.,false,,,NA,Thermal-only scenario paper in the Diefenbaker cluster.
35,hasanzadeh_etal_2020,"Hasanzadeh, S.K.; Saadatpour, M.; Afshar, A.",2020,A fuzzy equilibrium strategy for sustainable water quality management in river-reservoir system,10.1016/j.jhydrol.2020.124892,https://doi.org/10.1016/j.jhydrol.2020.124892,"Behesht-Abad and Kaj Reservoir, Iran",false,review Table 1,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Review: calibrated and validated; analysis time 15 days. GOF not retrieved.,partial,"NO3, NH4, PO4, BOD, DO, thermal inflows (Table 1).",unknown,"56 segs, up to 72 layers.",described,"Sustainable WQ management / fuzzy equilibrium — operating strategy paper, not TDG.",false,Closed.,yes,Review: calibrated and validated in this study.,unknown,No FT.,false,,,NA,15-day window is unusually short vs other Karkheh/Behesht-Abad papers.
36,lindenschmidt_etal_2019,"Lindenschmidt, K.E.; Carr, M.K.; Sadeghian, A.; Morales-Marin, L.",2019,"CE-QUAL-W2 model of dam outflow elevation impact on temperature, dissolved oxygen and nutrients in a reservoir",10.1038/s41597-019-0316-y,https://doi.org/10.1038/s41597-019-0316-y,"Lake Diefenbaker, Saskatchewan, Canada",true,Nature Scientific Data HTML,false,false,false,false,true,false,SSE; chi-squared (LM); RMSEav for DO/POC/PON/TN/TP,"T: Monte Carlo + PSO+LM; SSE then RMSE; acceptable RMSE<2 C vs profiles at 16 locations, same depth and location. WQ: RMSEav 0.17, 0.66, 0.69, 0.38, 0.67 for DO, POC, PON, TN, TP. No R2/NSE/KGE/PBIAS. Details deferred to Sadeghian 2015/2017/2018.",partial,"T profiles; DO, POC, PON, TN, TP (derived vars Table 1). Chl-a converted to biomass. Output written as CSV per variable in FRDR. Paper does not name TSR column IDs.",partial,"87 horizontal segments, 1 m layers, max 60. T compared at 16 locations, exact same depth. Segment numbers of the 16 stations not listed in the article body (Figure 1 map).",described,Six withdrawal elevations 5-55 m above bottom (500-550 m asl). w2_con.npt withdrawal depth changed per scenario. 2013 flood spillway vs turbine discussed. Not TDGTA.,true,"FRDR doi:10.20383/101.0134 — executables, 12 input files including w2_con.npt, outputs, README. Code availability section.",inherited,T and WQ calibration methods inherited from Sadeghian; this paper is a data descriptor of withdrawal scenarios 2011-2013.,partial,"From the paper alone: 16 unnamed stations, same-depth pairing, RMSE. From FRDR: full deck, so a reader with SI can reconstruct. Per protocol (paper-only) coded partial.",false,,,NA,Only paper among 38 that publishes the W2 input/output package. Best control-rule documentation.
37,aghasian_etal_2019,"Aghasian, K.; Moridi, A.; Mirbagheri, A.; Abbaspour, M.",2019,Selective withdrawal optimization in a multipurpose water use reservoir,10.1007/s13762-019-02363-x,https://doi.org/10.1007/s13762-019-02363-x,"Gotvand Reservoir, Iran",false,review Table 1 + title,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Review: calibrated in this study; TDS; 2014-2016. GOF not retrieved.,partial,TDS (Table 1).,unknown,"60 horizontal sections, 800-1800 m, vertical 2.5 m.",described,Title/purpose: selective withdrawal / release from various outlets to discharge brine from hypolimnion with downstream WQ constraints. MOPSO+W2.,false,Closed.,unknown,Review: calibrated in this study; no validation split stated.,unknown,No FT.,false,,,NA,Selective-withdrawal optimization; control-rule is the point of the paper.
38,moridi_2019,"Moridi, A.",2019,Dealing with reservoir eutrophication in a trans-boundary river,10.1007/s13762-018-1775-y,https://doi.org/10.1007/s13762-018-1775-y,"Dousti Reservoir, Harirud River, Iran/Turkmenistan",false,review text §3.2,true,unknown,unknown,unknown,unknown,unknown,unknown,Review §3.2: variable R2 for TP (0.85 and 0.29) and TN (0.96 and 0.89) across seasons. Not in Table 2. NSE not mentioned.,partial,"NO3, P, DO (Table 1). Review discusses TP and TN R2.",unknown,Table 1 segments Uninformed.,described,Optimization model to improve reservoir and downstream WQ. Operating policy implied; details unknown without FT.,false,Closed.,unknown,"Review: calibrated in this study, 2000-2002.",unknown,R2 quoted by review without I/K/file.,false,,,unknown,Review discusses this R2 in §3.2 but omits it from Table 2.
39,ziaie_etal_2019,"Ziaie, R.; Mohammadnezhad, B.; Taheriyoun, M.; Karimi, A.; Amiri, S.",2019,Evaluation of Thermal Stratification and Eutrophication in Zayandeh Roud Dam Reservoir Using Two-Dimensional CE-QUAL-W2 Model,10.1061/(ASCE)EE.1943-7870.0001529,https://doi.org/10.1061/(ASCE)EE.1943-7870.0001529,"Lake Zayandeh Roud, Iran",false,ASCE abstract + secondary citation (Doroudzan 2026 paper quoting MAE/RMSE),unknown,unknown,unknown,unknown,true,true,unknown,"Abstract: cal/val Oct 2013-Jan 2015, 'appropriate convergence'. Secondary source quotes Ziaie MAE/RMSE DO max 1.6 and 2.2 mg/L; PO4 MAE/RMSE 0.024; NO3 1.63 and 1.75. Those numbers are not from the Ziaie PDF (paywalled) so tagged secondary.",partial,"T, NO3, PO4, DO, TP (abstract).",unknown,"46 segs 235-1600 m, up to 77 layers x 1 m (Table 1).",NA,"Management scenarios: nutrient-load reduction and hypolimnion reaeration, not W2 selective-withdrawal controller.",false,Closed.,yes,Abstract: calibration and validation Oct 2013-Jan 2015 (review also lists Oct/Nov/Dec 2013 and Mar/Apr/Jul 2014 as WQ cal months).,unknown,Paywalled; I/K/file unknown.,false,,,NA,MAE/RMSE from a later paper citing Ziaie; treat as unverified against original tables.
40,kim_etal_2019,"Kim, D.; Kim, Y.; Kim, B.",2019,Simulation of eutrophication in a reservoir by CE-QUAL-W2 for the evaluation of the importance of point sources and summer monsoon,10.1080/10402381.2018.1530318,https://doi.org/10.1080/10402381.2018.1530318,"Lake Uiam, South Korea",false,publisher abstract + review Table 2,true,unknown,unknown,unknown,unknown,unknown,unknown,"Review Table 2: R2>0.9 for water level, temperature, and SS; Chl-a R2=0.35 in review text. Original tables not seen. NSE not mentioned in abstract.",partial,"SS, TP, TN, chlorophyll, COD (Table 1).",unknown,56 segments (Table 1).,NA,STP effluent P-reduction scenario; not W2 internal controller.,false,Closed. Calibration based on NIER 2007.,inherited,Review: calibrated based on NIER 2007; periods 2005-2009 and 2013-2014.,unknown,No FT; Table 2 R2 not mapped to I/K.,true,>0.9,"Water Level, Temperature, and Suspended Solids (SS)",unknown,"Review text also gives Chl-a R2=0.35, omitted from Table 2 row."
